,Clase de la via,Particula de la via,Nombre de la via,Codigo de vía,Distritos atravesados,Literal completo del vial 
0,CALLE                   ,DE    ,ISABEL COLBRAND                                 ,127,8.0,CALLE DE ISABEL COLBRAND                                       
1,CALLE                   ,DE    ,GONZALEZ DAVILA                                 ,150,18.0,CALLE DE GONZÁLEZ DÁVILA                                       
2,CALLE                   ,DE LA ,ABADA                                           ,200,1.0,CALLE DE LA ABADA                                              
3,CALLE                   ,DE LOS,ABADES                                          ,300,1.0,CALLE DE LOS ABADES                                            
4,CALLE                   ,DE LA ,ABADESA                                         ,400,6.0,CALLE DE LA ABADESA                                            
5,CALLE                   ,DE    ,ABALOS                                          ,600,15.0,CALLE DE ÁBALOS                                                
6,CALLE                   ,DEL   ,ABANICO                                         ,700,20.0,CALLE DEL ABANICO                                              
7,PASO ELEVADO            ,DE    ,ENRIQUE DE LA MATA GOROSTIZAGA                  ,701,4.0,PASO ELEVADO DE ENRIQUE DE LA MATA GOROSTIZAGA                 
8,AVENIDA                 ,DE LA ,FUENTE DE LA MORA                               ,702,16.0,AVENIDA DE LA FUENTE DE LA MORA                                
9,CALLE                   ,DE    ,FEDERICO MORENO TORROBA                         ,703,3.0,CALLE DE FEDERICO MORENO TORROBA                               
10,PLAZA                   ,DE    ,ANDRES SEGOVIA                                  ,704,5.0,PLAZA DE ANDRÉS SEGOVIA                                        
11,CALLE                   ,DEL   ,CONCEJAL BENITO MARTIN LOZANO                   ,705,2.0,CALLE DEL CONCEJAL BENITO MARTÍN LOZANO                        
12,PASAJE                  ,DEL   ,OLIVINO                                         ,706,9.0,PASAJE DEL OLIVINO                                             
13,CALLE                   ,DE LAS,PLANTAS                                         ,707,9.0,CALLE DE LAS PLANTAS                                           
14,CALLE                   ,DE LAS,HIERBAS                                         ,708,9.0,CALLE DE LAS HIERBAS                                           
15,CALLE                   ,DEL   ,ANIS                                            ,709,9.0,CALLE DEL ANÍS                                                 
16,CALLE                   ,DEL   ,EBANO                                           ,710,9.0,CALLE DEL ÉBANO                                                
