,Codigo de via,Clase de la via,Particula de la via,Nombre de la via,Numero inicial del tramo,Numero final del tramo,Codigo postal
0,127,%CALLE%,DE    ,%ISABEL COLBRAND%,2,12,28050
1,127,%CALLE%,DE    ,%ISABEL COLBRAND%,14,22,28050
2,127,%CALLE%,DE    ,%ISABEL COLBRAND%,24,9998,28050
3,150,%CALLE%,DE    ,%GONZALEZ DAVILA%,1,9999,28031
4,150,%CALLE%,DE    ,%GONZALEZ DAVILA%,2,9998,28031
5,200,%CALLE%,DE LA ,%ABADA%,1,9999,28013
6,200,%CALLE%,DE LA ,%ABADA%,2,9998,28013
7,300,%CALLE%,DE LOS,%ABADES%,1,9999,28012
8,300,%CALLE%,DE LOS,%ABADES%,2,9998,28012
9,400,%CALLE%,DE LA ,%ABADESA%,1,9999,28039
10,400,%CALLE%,DE LA ,%ABADESA%,2,9998,28039
11,600,%CALLE%,DE    ,%ABALOS%,1,9999,28043
12,600,%CALLE%,DE    ,%ABALOS%,2,9998,28043
13,700,%CALLE%,DEL   ,%ABANICO%,1,9999,28037
14,700,%CALLE%,DEL   ,%ABANICO%,2,9998,28037
15,702,%AVENIDA%,DE LA ,%FUENTE DE LA MORA%,1,9999,28050
16,702,%AVENIDA%,DE LA ,%FUENTE DE LA MORA%,2,9998,28050
17,703,%CALLE%,DE    ,%FEDERICO MORENO TORROBA%,1,9999,28007
18,703,%CALLE%,DE    ,%FEDERICO MORENO TORROBA%,2,9998,28007
19,704,%PLAZA%,DE    ,%ANDRES SEGOVIA%,1,9999,28002
20,704,%PLAZA%,DE    ,%ANDRES SEGOVIA%,2,9998,28002
21,705,%CALLE%,DEL   ,%CONCEJAL BENITO MARTIN LOZANO%,1,9999,28005
22,705,%CALLE%,DEL   ,%CONCEJAL BENITO MARTIN LOZANO%,2,9998,28005
23,706,%PASAJE%,DEL   ,%OLIVINO%,1,9999,28023
24,706,%PASAJE%,DEL   ,%OLIVINO%,2,9998,28023
25,707,%CALLE%,DE LAS,%PLANTAS%,1,9999,28023
26,707,%CALLE%,DE LAS,%PLANTAS%,2,9998,28023
27,708,%CALLE%,DE LAS,%HIERBAS%,1,9999,28023
28,708,%CALLE%,DE LAS,%HIERBAS%,2,9998,28023
29,709,%CALLE%,DEL   ,%ANIS%,1,9999,28023
30,709,%CALLE%,DEL   ,%ANIS%,2,9998,28023
31,710,%CALLE%,DEL   ,%EBANO%,1,9999,28023
32,710,%CALLE%,DEL   ,%EBANO%,2,9998,28023
33,711,%CALLE%,DEL   ,%ALCORNOQUE%,1,9999,28023
34,711,%CALLE%,DEL   ,%ALCORNOQUE%,2,9998,28023
35,712,%CALLE%,DEL   ,%PALOSANTO%,1,9999,28023
36,712,%CALLE%,DEL   ,%PALOSANTO%,2,9998,28023
37,713,%CALLE%,DEL   ,%MORTERO%,1,9999,28023
38,713,%CALLE%,DEL   ,%MORTERO%,2,9998,28023
39,714,%CALLE%,DEL   ,%AUTILLO%,1,9999,28023
40,714,%CALLE%,DEL   ,%AUTILLO%,2,9998,28023
41,715,%RONDA%,DE LAS,%FLORES%,1,9999,28023
42,715,%RONDA%,DE LAS,%FLORES%,2,9998,28023
43,716,%CALLE%,DE    ,%FRANCISCO GIRALTE%,1,9999,28002
44,716,%CALLE%,DE    ,%FRANCISCO GIRALTE%,2,9998,28002
45,717,%CALLE%,DEL   ,%CARDENAL MARCELO SPINOLA%,1,9999,28016
46,717,%CALLE%,DEL   ,%CARDENAL MARCELO SPINOLA%,2,9998,28016
47,718,%CALLE%,DE    ,%JOSEP PLA%,1,9999,28002
48,718,%CALLE%,DE    ,%JOSEP PLA%,2,9998,28002
49,719,%JARDINES%,DE    ,%PABLO SOROZABAL%,1,9999,28002
50,719,%JARDINES%,DE    ,%PABLO SOROZABAL%,2,9999,28002
51,720,%CALLE%,DE    ,%FOBOS%,1,19,28030
52,720,%CALLE%,DE    ,%FOBOS%,21,9999,28030
53,720,%CALLE%,DE    ,%FOBOS%,2,9998,28030
54,721,%CALLE%,DE    ,%OBERON%,1,9999,28030
55,721,%CALLE%,DE    ,%OBERON%,2,9998,28030
56,722,%CALLE%,DE    ,%NICOLAS MARIA URGOITI%,1,9999,28035
57,722,%CALLE%,DE    ,%NICOLAS MARIA URGOITI%,2,9998,28035
58,723,%CALLE%,DEL   ,%HELECHO%,1,9999,28002
59,723,%CALLE%,DEL   ,%HELECHO%,2,9998,28002
60,724,%CALLE%,DE    ,%LA ESTRADA%,1,9999,28034
61,724,%CALLE%,DE    ,%LA ESTRADA%,2,9998,28034
62,725,%PASEO%,DEL   ,%ZURRON%,1,9999,28042
63,725,%PASEO%,DEL   ,%ZURRON%,2,9998,28042
64,726,%CALLE%,DEL   ,%MURO%,1,9999,28042
65,726,%CALLE%,DEL   ,%MURO%,2,9998,28042
66,727,%CALLE%,DE    ,%CALDERON%,1,9999,28042
67,727,%CALLE%,DE    ,%CALDERON%,2,9998,28042
68,728,%AVENIDA%,DE LA ,%GRAN VIA DE HORTALEZA%,1,1,28033
69,728,%AVENIDA%,DE LA ,%GRAN VIA DE HORTALEZA%,3,13,28033
70,728,%AVENIDA%,DE LA ,%GRAN VIA DE HORTALEZA%,15,63,28043
71,728,%AVENIDA%,DE LA ,%GRAN VIA DE HORTALEZA%,65,9999,28043
72,728,%AVENIDA%,DE LA ,%GRAN VIA DE HORTALEZA%,2,4,28033
73,728,%AVENIDA%,DE LA ,%GRAN VIA DE HORTALEZA%,6,26,28033
74,728,%AVENIDA%,DE LA ,%GRAN VIA DE HORTALEZA%,28,82,28043
75,728,%AVENIDA%,DE LA ,%GRAN VIA DE HORTALEZA%,84,9998,28043
76,729,%CALLE%,DE    ,%PEDRO MORENO%,1,9999,28020
77,729,%CALLE%,DE    ,%PEDRO MORENO%,2,9998,28020
78,730,%CALLE%,DE    ,%FRANCISCO GINER DE LOS RIOS%,1,9999,28027
79,730,%CALLE%,DE    ,%FRANCISCO GINER DE LOS RIOS%,2,9998,28027
80,731,%COSTANILLA%,DEL   ,%CALERO%,1,9999,28027
81,731,%COSTANILLA%,DEL   ,%CALERO%,2,9998,28027
82,732,%TRAVESIA%,DE    ,%CESAR GONZALEZ RUANO%,1,9999,28027
83,732,%TRAVESIA%,DE    ,%CESAR GONZALEZ RUANO%,2,9998,28027
84,733,%CALLE%,DE    ,%LUIS CERNUDA%,1,9999,28027
85,733,%CALLE%,DE    ,%LUIS CERNUDA%,2,9998,28027
86,734,%CALLE%,DE    ,%FERNANDO PESSOA%,1,9999,28027
87,734,%CALLE%,DE    ,%FERNANDO PESSOA%,2,9998,28027
88,735,%CALLE%,DE LA ,%ELECTRONICA%,1,9999,28027
89,735,%CALLE%,DE LA ,%ELECTRONICA%,2,9998,28027
90,736,%CALLE%,DEL   ,%PADRE COLOMA%,1,9999,28027
91,736,%CALLE%,DEL   ,%PADRE COLOMA%,2,9998,28027
92,737,%CALLE%,DE LAS,%BATERIAS%,1,9999,28027
93,737,%CALLE%,DE LAS,%BATERIAS%,2,9998,28027
94,738,%CALLE%,DE    ,%MARIA ZAMBRANO%,1,9999,28027
95,738,%CALLE%,DE    ,%MARIA ZAMBRANO%,2,9998,28027
96,739,%CALLE%,DE LA ,%VIRGEN DEL ESPINO%,1,9999,28027
97,739,%CALLE%,DE LA ,%VIRGEN DEL ESPINO%,2,9998,28027
98,740,%CALLE%,DE    ,%FELIPE TRIGO%,1,9999,28027
99,740,%CALLE%,DE    ,%FELIPE TRIGO%,2,9998,28027
100,741,%CALLE%,DEL   ,%CERRO%,1,9999,28033
101,741,%CALLE%,DEL   ,%CERRO%,2,9998,28033
102,742,%TRAVESIA%,DEL   ,%CONDADO DE TREVI�O%,1,9999,28033
103,742,%TRAVESIA%,DEL   ,%CONDADO DE TREVI�O%,2,9998,28033
104,743,%CALLE%,DE LA ,%SENDA%,1,9999,28033
105,743,%CALLE%,DE LA ,%SENDA%,2,9998,28033
106,744,%CALLE%,DE LA ,%VEREDA%,1,9999,28033
107,744,%CALLE%,DE LA ,%VEREDA%,2,9998,28033
108,745,%CALLE%,DEL   ,%ARTE%,1,9999,28033
109,745,%CALLE%,DEL   ,%ARTE%,2,9998,28033
110,746,%CALLE%,DE LA ,%CULTURA%,1,5,28033
111,746,%CALLE%,DE LA ,%CULTURA%,7,9999,28033
112,746,%CALLE%,DE LA ,%CULTURA%,2,8,28033
113,746,%CALLE%,DE LA ,%CULTURA%,10,9998,28033
114,747,%CALLE%,DEL   ,%VIOLIN%,1,9999,28033
115,747,%CALLE%,DEL   ,%VIOLIN%,2,9998,28033
116,748,%CALLE%,DEL   ,%OBOE%,1,9999,28033
117,748,%CALLE%,DEL   ,%OBOE%,2,9998,28033
118,749,%CALLE%,DEL   ,%LAUD%,1,9999,28033
119,749,%CALLE%,DEL   ,%LAUD%,2,9998,28033
120,750,%CALLE%,DEL   ,%QUEROL%,1,9999,28033
121,750,%CALLE%,DEL   ,%QUEROL%,2,9998,28033
122,751,%CALLE%,DE LA ,%DULZAINA%,1,9999,28033
123,751,%CALLE%,DE LA ,%DULZAINA%,2,9998,28033
124,752,%PASAJE%,DE    ,%CALERUEGA%,1,9999,28033
125,752,%PASAJE%,DE    ,%CALERUEGA%,2,9998,28033
126,753,%CALLE%,DE LA ,%EDUCACION%,1,9999,28033
127,753,%CALLE%,DE LA ,%EDUCACION%,2,9998,28033
128,754,%CALLE%,DEL   ,%CANAL DE PANAMA%,1,9999,28027
129,754,%CALLE%,DEL   ,%CANAL DE PANAMA%,2,9998,28027
130,755,%CALLE%,DEL   ,%CANAL DE MOZAMBIQUE%,1,9999,28027
131,755,%CALLE%,DEL   ,%CANAL DE MOZAMBIQUE%,2,9998,28027
132,756,%CALLE%,DE    ,%PABLO SANCHEZ%,1,9999,28027
133,756,%CALLE%,DE    ,%PABLO SANCHEZ%,2,9998,28027
134,757,%CALLE%,DE LA ,%INDULGENCIA%,1,9999,28027
135,757,%CALLE%,DE LA ,%INDULGENCIA%,2,9998,28027
136,758,%CALLE%,DE LA ,%DALIA%,1,3,28033
137,758,%CALLE%,DE LA ,%DALIA%,5,9999,28033
138,758,%CALLE%,DE LA ,%DALIA%,2,4,28033
139,758,%CALLE%,DE LA ,%DALIA%,6,9998,28033
140,759,%CAMINO%,DE LA ,%CUERDA%,1,9999,28033
141,759,%CAMINO%,DE LA ,%CUERDA%,2,9998,28033
142,760,%CALLE%,DE    ,%BRIVIESCA%,1,9999,28033
