Codigo de via;Clase de la via;Particula de la via;Nombre de la via;Tipo de tramo ;Nombre de la aproximacion;Numero inicial del tramo;Calificador del numero inicial del tramo;Numero final del tramo;Calificador del numero final del tramo;Codigo postal;Seccion de carteria
127;CALLE                   ;DE    ;ISABEL COLBRAND                                 ;par  ;NUM;2;  ;12;  ;28050;N/D
127;CALLE                   ;DE    ;ISABEL COLBRAND                                 ;par  ;NUM;14;  ;22;  ;28050;N/D
127;CALLE                   ;DE    ;ISABEL COLBRAND                                 ;par  ;NUM;24;  ;9998;  ;28050;N/D
150;CALLE                   ;DE    ;GONZALEZ DAVILA                                 ;impar;NUM;1;  ;9999;  ;28031;N/D
150;CALLE                   ;DE    ;GONZALEZ DAVILA                                 ;par  ;NUM;2;  ;9998;  ;28031;N/D
200;CALLE                   ;DE LA ;ABADA                                           ;impar;NUM;1;  ;9999;  ;28013;N/D
200;CALLE                   ;DE LA ;ABADA                                           ;par  ;NUM;2;  ;9998;  ;28013;N/D
300;CALLE                   ;DE LOS;ABADES                                          ;impar;NUM;1;  ;9999;  ;28012;N/D
300;CALLE                   ;DE LOS;ABADES                                          ;par  ;NUM;2;  ;9998;  ;28012;N/D
400;CALLE                   ;DE LA ;ABADESA                                         ;impar;NUM;1;  ;9999;  ;28039;N/D
400;CALLE                   ;DE LA ;ABADESA                                         ;par  ;NUM;2;  ;9998;  ;28039;N/D
600;CALLE                   ;DE    ;ABALOS                                          ;impar;NUM;1;  ;9999;  ;28043;N/D
600;CALLE                   ;DE    ;ABALOS                                          ;par  ;NUM;2;  ;9998;  ;28043;N/D
700;CALLE                   ;DEL   ;ABANICO                                         ;impar;NUM;1;  ;9999;  ;28037;N/D
700;CALLE                   ;DEL   ;ABANICO                                         ;par  ;NUM;2;  ;9998;  ;28037;N/D
702;AVENIDA                 ;DE LA ;FUENTE DE LA MORA                               ;impar;NUM;1;  ;9999;  ;28050;N/D
702;AVENIDA                 ;DE LA ;FUENTE DE LA MORA                               ;par  ;NUM;2;  ;9998;  ;28050;N/D
703;CALLE                   ;DE    ;FEDERICO MORENO TORROBA                         ;impar;NUM;1;  ;9999;  ;28007;N/D
703;CALLE                   ;DE    ;FEDERICO MORENO TORROBA                         ;par  ;NUM;2;  ;9998;  ;28007;N/D
704;PLAZA                   ;DE    ;ANDRES SEGOVIA                                  ;impar;NUM;1;  ;9999;  ;28002;N/D
704;PLAZA                   ;DE    ;ANDRES SEGOVIA                                  ;par  ;NUM;2;  ;9998;  ;28002;N/D
705;CALLE                   ;DEL   ;CONCEJAL BENITO MARTIN LOZANO                   ;impar;NUM;1;  ;9999;  ;28005;N/D
705;CALLE                   ;DEL   ;CONCEJAL BENITO MARTIN LOZANO                   ;par  ;NUM;2;  ;9998;  ;28005;N/D
706;PASAJE                  ;DEL   ;OLIVINO                                         ;impar;NUM;1;  ;9999;  ;28023;N/D
706;PASAJE                  ;DEL   ;OLIVINO                                         ;par  ;NUM;2;  ;9998;  ;28023;N/D
707;CALLE                   ;DE LAS;PLANTAS                                         ;impar;NUM;1;  ;9999;  ;28023;N/D
707;CALLE                   ;DE LAS;PLANTAS                                         ;par  ;NUM;2;  ;9998;  ;28023;N/D
708;CALLE                   ;DE LAS;HIERBAS                                         ;impar;NUM;1;  ;9999;  ;28023;N/D
708;CALLE                   ;DE LAS;HIERBAS                                         ;par  ;NUM;2;  ;9998;  ;28023;N/D
709;CALLE                   ;DEL   ;ANIS                                            ;impar;NUM;1;  ;9999;  ;28023;N/D
709;CALLE                   ;DEL   ;ANIS                                            ;par  ;NUM;2;  ;9998;  ;28023;N/D
710;CALLE                   ;DEL   ;EBANO                                           ;impar;NUM;1;  ;9999;  ;28023;N/D
710;CALLE                   ;DEL   ;EBANO                                           ;par  ;NUM;2;  ;9998;  ;28023;N/D
711;CALLE                   ;DEL   ;ALCORNOQUE                                      ;impar;NUM;1;  ;9999;  ;28023;N/D
711;CALLE                   ;DEL   ;ALCORNOQUE                                      ;par  ;NUM;2;  ;9998;  ;28023;N/D
712;CALLE                   ;DEL   ;PALOSANTO                                       ;impar;NUM;1;  ;9999;  ;28023;N/D
712;CALLE                   ;DEL   ;PALOSANTO                                       ;par  ;NUM;2;  ;9998;  ;28023;N/D
713;CALLE                   ;DEL   ;MORTERO                                         ;impar;NUM;1;  ;9999;  ;28023;N/D
713;CALLE                   ;DEL   ;MORTERO                                         ;par  ;NUM;2;  ;9998;  ;28023;N/D
714;CALLE                   ;DEL   ;AUTILLO                                         ;impar;NUM;1;  ;9999;  ;28023;N/D
714;CALLE                   ;DEL   ;AUTILLO                                         ;par  ;NUM;2;  ;9998;  ;28023;N/D
715;RONDA                   ;DE LAS;FLORES                                          ;impar;NUM;1;  ;9999;  ;28023;N/D
715;RONDA                   ;DE LAS;FLORES                                          ;par  ;NUM;2;  ;9998;  ;28023;N/D
716;CALLE                   ;DE    ;FRANCISCO GIRALTE                               ;impar;NUM;1;  ;9999;  ;28002;N/D
716;CALLE                   ;DE    ;FRANCISCO GIRALTE                               ;par  ;NUM;2;  ;9998;  ;28002;N/D
717;CALLE                   ;DEL   ;CARDENAL MARCELO SPINOLA                        ;impar;NUM;1;  ;9999;  ;28016;N/D
717;CALLE                   ;DEL   ;CARDENAL MARCELO SPINOLA                        ;par  ;NUM;2;  ;9998;  ;28016;N/D
718;CALLE                   ;DE    ;JOSEP PLA                                       ;impar;NUM;1;  ;9999;  ;28002;N/D
718;CALLE                   ;DE    ;JOSEP PLA                                       ;par  ;NUM;2;  ;9998;  ;28002;N/D
719;JARDINES                ;DE    ;PABLO SOROZABAL                                 ;impar;NUM;1;  ;9999;  ;28002;N/D
719;JARDINES                ;DE    ;PABLO SOROZABAL                                 ;par  ;NUM;2;  ;9999;  ;28002;N/D
720;CALLE                   ;DE    ;FOBOS                                           ;impar;NUM;1;  ;19;  ;28030;N/D
720;CALLE                   ;DE    ;FOBOS                                           ;impar;NUM;21;  ;9999;  ;28030;N/D
720;CALLE                   ;DE    ;FOBOS                                           ;par  ;NUM;2;  ;9998;  ;28030;N/D
721;CALLE                   ;DE    ;OBERON                                          ;impar;NUM;1;  ;9999;  ;28030;N/D
721;CALLE                   ;DE    ;OBERON                                          ;par  ;NUM;2;  ;9998;  ;28030;N/D
722;CALLE                   ;DE    ;NICOLAS MARIA URGOITI                           ;impar;NUM;1;  ;9999;  ;28035;N/D
722;CALLE                   ;DE    ;NICOLAS MARIA URGOITI                           ;par  ;NUM;2;  ;9998;  ;28035;N/D
723;CALLE                   ;DEL   ;HELECHO                                         ;impar;NUM;1;  ;9999;  ;28002;N/D
723;CALLE                   ;DEL   ;HELECHO                                         ;par  ;NUM;2;  ;9998;  ;28002;N/D
724;CALLE                   ;DE    ;LA ESTRADA                                      ;impar;NUM;1;  ;9999;  ;28034;N/D
724;CALLE                   ;DE    ;LA ESTRADA                                      ;par  ;NUM;2;  ;9998;  ;28034;N/D
725;PASEO                   ;DEL   ;ZURRON                                          ;impar;NUM;1;  ;9999;  ;28042;N/D
725;PASEO                   ;DEL   ;ZURRON                                          ;par  ;NUM;2;  ;9998;  ;28042;N/D
726;CALLE                   ;DEL   ;MURO                                            ;impar;NUM;1;  ;9999;  ;28042;N/D
726;CALLE                   ;DEL   ;MURO                                            ;par  ;NUM;2;  ;9998;  ;28042;N/D
727;CALLE                   ;DE    ;CALDERON                                        ;impar;NUM;1;  ;9999;  ;28042;N/D
727;CALLE                   ;DE    ;CALDERON                                        ;par  ;NUM;2;  ;9998;  ;28042;N/D
728;AVENIDA                 ;DE LA ;GRAN VIA DE HORTALEZA                           ;impar;NUM;1;  ;1;  ;28033;N/D
728;AVENIDA                 ;DE LA ;GRAN VIA DE HORTALEZA                           ;impar;NUM;3;  ;13;  ;28033;N/D
728;AVENIDA                 ;DE LA ;GRAN VIA DE HORTALEZA                           ;impar;NUM;15;  ;63;  ;28043;N/D
728;AVENIDA                 ;DE LA ;GRAN VIA DE HORTALEZA                           ;impar;NUM;65;  ;9999;  ;28043;N/D
728;AVENIDA                 ;DE LA ;GRAN VIA DE HORTALEZA                           ;par  ;NUM;2;  ;4;  ;28033;N/D
728;AVENIDA                 ;DE LA ;GRAN VIA DE HORTALEZA                           ;par  ;NUM;6;  ;26;  ;28033;N/D
728;AVENIDA                 ;DE LA ;GRAN VIA DE HORTALEZA                           ;par  ;NUM;28;  ;82;  ;28043;N/D
728;AVENIDA                 ;DE LA ;GRAN VIA DE HORTALEZA                           ;par  ;NUM;84;  ;9998;  ;28043;N/D
729;CALLE                   ;DE    ;PEDRO MORENO                                    ;impar;NUM;1;  ;9999;  ;28020;N/D
729;CALLE                   ;DE    ;PEDRO MORENO                                    ;par  ;NUM;2;  ;9998;  ;28020;N/D
730;CALLE                   ;DE    ;FRANCISCO GINER DE LOS RIOS                     ;impar;NUM;1;  ;9999;  ;28027;N/D
730;CALLE                   ;DE    ;FRANCISCO GINER DE LOS RIOS                     ;par  ;NUM;2;  ;9998;  ;28027;N/D
731;COSTANILLA              ;DEL   ;CALERO                                          ;impar;NUM;1;  ;9999;  ;28027;N/D
731;COSTANILLA              ;DEL   ;CALERO                                          ;par  ;NUM;2;  ;9998;  ;28027;N/D
732;TRAVESIA                ;DE    ;CESAR GONZALEZ RUANO                            ;impar;NUM;1;  ;9999;  ;28027;N/D
732;TRAVESIA                ;DE    ;CESAR GONZALEZ RUANO                            ;par  ;NUM;2;  ;9998;  ;28027;N/D
733;CALLE                   ;DE    ;LUIS CERNUDA                                    ;impar;NUM;1;  ;9999;  ;28027;N/D
733;CALLE                   ;DE    ;LUIS CERNUDA                                    ;par  ;NUM;2;  ;9998;  ;28027;N/D
734;CALLE                   ;DE    ;FERNANDO PESSOA                                 ;impar;NUM;1;  ;9999;  ;28027;N/D
734;CALLE                   ;DE    ;FERNANDO PESSOA                                 ;par  ;NUM;2;  ;9998;  ;28027;N/D
735;CALLE                   ;DE LA ;ELECTRONICA                                     ;impar;NUM;1;  ;9999;  ;28027;N/D
735;CALLE                   ;DE LA ;ELECTRONICA                                     ;par  ;NUM;2;  ;9998;  ;28027;N/D
736;CALLE                   ;DEL   ;PADRE COLOMA                                    ;impar;NUM;1;  ;9999;  ;28027;N/D
736;CALLE                   ;DEL   ;PADRE COLOMA                                    ;par  ;NUM;2;  ;9998;  ;28027;N/D
737;CALLE                   ;DE LAS;BATERIAS                                        ;impar;NUM;1;  ;9999;  ;28027;N/D
737;CALLE                   ;DE LAS;BATERIAS                                        ;par  ;NUM;2;  ;9998;  ;28027;N/D
738;CALLE                   ;DE    ;MARIA ZAMBRANO                                  ;impar;NUM;1;  ;9999;  ;28027;N/D
738;CALLE                   ;DE    ;MARIA ZAMBRANO                                  ;par  ;NUM;2;  ;9998;  ;28027;N/D
739;CALLE                   ;DE LA ;VIRGEN DEL ESPINO                               ;impar;NUM;1;  ;9999;  ;28027;N/D
739;CALLE                   ;DE LA ;VIRGEN DEL ESPINO                               ;par  ;NUM;2;  ;9998;  ;28027;N/D
740;CALLE                   ;DE    ;FELIPE TRIGO                                    ;impar;NUM;1;  ;9999;  ;28027;N/D
740;CALLE                   ;DE    ;FELIPE TRIGO                                    ;par  ;NUM;2;  ;9998;  ;28027;N/D
741;CALLE                   ;DEL   ;CERRO                                           ;impar;NUM;1;  ;9999;  ;28033;N/D
741;CALLE                   ;DEL   ;CERRO                                           ;par  ;NUM;2;  ;9998;  ;28033;N/D
742;TRAVESIA                ;DEL   ;CONDADO DE TREVIÑO                              ;impar;NUM;1;  ;9999;  ;28033;N/D
742;TRAVESIA                ;DEL   ;CONDADO DE TREVIÑO                              ;par  ;NUM;2;  ;9998;  ;28033;N/D
743;CALLE                   ;DE LA ;SENDA                                           ;impar;NUM;1;  ;9999;  ;28033;N/D
743;CALLE                   ;DE LA ;SENDA                                           ;par  ;NUM;2;  ;9998;  ;28033;N/D
744;CALLE                   ;DE LA ;VEREDA                                          ;impar;NUM;1;  ;9999;  ;28033;N/D
744;CALLE                   ;DE LA ;VEREDA                                          ;par  ;NUM;2;  ;9998;  ;28033;N/D
745;CALLE                   ;DEL   ;ARTE                                            ;impar;NUM;1;  ;9999;  ;28033;N/D
745;CALLE                   ;DEL   ;ARTE                                            ;par  ;NUM;2;  ;9998;  ;28033;N/D
746;CALLE                   ;DE LA ;CULTURA                                         ;impar;NUM;1;  ;5;  ;28033;N/D
746;CALLE                   ;DE LA ;CULTURA                                         ;impar;NUM;7;  ;9999;  ;28033;N/D
746;CALLE                   ;DE LA ;CULTURA                                         ;par  ;NUM;2;  ;8;  ;28033;N/D
746;CALLE                   ;DE LA ;CULTURA                                         ;par  ;NUM;10;  ;9998;  ;28033;N/D
747;CALLE                   ;DEL   ;VIOLIN                                          ;impar;NUM;1;  ;9999;  ;28033;N/D
747;CALLE                   ;DEL   ;VIOLIN                                          ;par  ;NUM;2;  ;9998;  ;28033;N/D
748;CALLE                   ;DEL   ;OBOE                                            ;impar;NUM;1;  ;9999;  ;28033;N/D
748;CALLE                   ;DEL   ;OBOE                                            ;par  ;NUM;2;  ;9998;  ;28033;N/D
749;CALLE                   ;DEL   ;LAUD                                            ;impar;NUM;1;  ;9999;  ;28033;N/D
749;CALLE                   ;DEL   ;LAUD                                            ;par  ;NUM;2;  ;9998;  ;28033;N/D
750;CALLE                   ;DEL   ;QUEROL                                          ;impar;NUM;1;  ;9999;  ;28033;N/D
750;CALLE                   ;DEL   ;QUEROL                                          ;par  ;NUM;2;  ;9998;  ;28033;N/D
751;CALLE                   ;DE LA ;DULZAINA                                        ;impar;NUM;1;  ;9999;  ;28033;N/D
751;CALLE                   ;DE LA ;DULZAINA                                        ;par  ;NUM;2;  ;9998;  ;28033;N/D
752;PASAJE                  ;DE    ;CALERUEGA                                       ;impar;NUM;1;  ;9999;  ;28033;N/D
752;PASAJE                  ;DE    ;CALERUEGA                                       ;par  ;NUM;2;  ;9998;  ;28033;N/D
753;CALLE                   ;DE LA ;EDUCACION                                       ;impar;NUM;1;  ;9999;  ;28033;N/D
753;CALLE                   ;DE LA ;EDUCACION                                       ;par  ;NUM;2;  ;9998;  ;28033;N/D
754;CALLE                   ;DEL   ;CANAL DE PANAMA                                 ;impar;NUM;1;  ;9999;  ;28027;N/D
754;CALLE                   ;DEL   ;CANAL DE PANAMA                                 ;par  ;NUM;2;  ;9998;  ;28027;N/D
755;CALLE                   ;DEL   ;CANAL DE MOZAMBIQUE                             ;impar;NUM;1;  ;9999;  ;28027;N/D
755;CALLE                   ;DEL   ;CANAL DE MOZAMBIQUE                             ;par  ;NUM;2;  ;9998;  ;28027;N/D
756;CALLE                   ;DE    ;PABLO SANCHEZ                                   ;impar;NUM;1;  ;9999;  ;28027;N/D
756;CALLE                   ;DE    ;PABLO SANCHEZ                                   ;par  ;NUM;2;  ;9998;  ;28027;N/D
757;CALLE                   ;DE LA ;INDULGENCIA                                     ;impar;NUM;1;  ;9999;  ;28027;N/D
757;CALLE                   ;DE LA ;INDULGENCIA                                     ;par  ;NUM;2;  ;9998;  ;28027;N/D
758;CALLE                   ;DE LA ;DALIA                                           ;impar;NUM;1;  ;3;  ;28033;N/D
758;CALLE                   ;DE LA ;DALIA                                           ;impar;NUM;5;  ;9999;  ;28033;N/D
758;CALLE                   ;DE LA ;DALIA                                           ;par  ;NUM;2;  ;4;  ;28033;N/D
758;CALLE                   ;DE LA ;DALIA                                           ;par  ;NUM;6;  ;9998;  ;28033;N/D
759;CAMINO                  ;DE LA ;CUERDA                                          ;impar;NUM;1;  ;9999;  ;28033;N/D
759;CAMINO                  ;DE LA ;CUERDA                                          ;par  ;NUM;2;  ;9998;  ;28033;N/D
760;CALLE                   ;DE    ;BRIVIESCA                                       ;impar;NUM;1;  ;9999;  ;28033;N/D
760;CALLE                   ;DE    ;BRIVIESCA                                       ;par  ;NUM;2;  ;9998;  ;28033;N/D
761;CALLE                   ;DE    ;JOSE BASTOS                                     ;impar;NUM;1;  ;9999;  ;28023;N/D
761;CALLE                   ;DE    ;JOSE BASTOS                                     ;par  ;NUM;2;  ;9998;  ;28023;N/D
762;CALLE                   ;DE LA ;LAGUNA DE LOS PAJAROS                           ;impar;NUM;1;  ;9999;  ;28023;N/D
762;CALLE                   ;DE LA ;LAGUNA DE LOS PAJAROS                           ;par  ;NUM;2;  ;9998;  ;28023;N/D
763;CALLE                   ;DEL   ;PICO DE LA GOLONDRINA                           ;impar;NUM;1;  ;9999;  ;28023;N/D
763;CALLE                   ;DEL   ;PICO DE LA GOLONDRINA                           ;par  ;NUM;2;  ;9998;  ;28023;N/D
764;CALLE                   ;DE LA ;LOMA DE LOS BAILANDEROS                         ;impar;NUM;1;  ;9999;  ;28023;N/D
764;CALLE                   ;DE LA ;LOMA DE LOS BAILANDEROS                         ;par  ;NUM;2;  ;9998;  ;28023;N/D
765;CALLE                   ;DEL   ;PUERTO DE FUENFRIA                              ;impar;NUM;1;  ;9999;  ;28023;N/D
765;CALLE                   ;DEL   ;PUERTO DE FUENFRIA                              ;par  ;NUM;2;  ;9998;  ;28023;N/D
766;CALLE                   ;DEL   ;PICO ALMENARA                                   ;impar;NUM;1;  ;9999;  ;28023;N/D
766;CALLE                   ;DEL   ;PICO ALMENARA                                   ;par  ;NUM;2;  ;9998;  ;28023;N/D
767;CALLE                   ;DEL   ;MONTON DE TRIGO                                 ;impar;NUM;1;  ;9999;  ;28023;N/D
767;CALLE                   ;DEL   ;MONTON DE TRIGO                                 ;par  ;NUM;2;  ;9998;  ;28023;N/D
768;CALLE                   ;DE    ;CABEZA LIJAR                                    ;impar;NUM;1;  ;9999;  ;28023;N/D
768;CALLE                   ;DE    ;CABEZA LIJAR                                    ;par  ;NUM;2;  ;9998;  ;28023;N/D
769;CALLE                   ;DEL   ;CERRO SAN PEDRO                                 ;impar;NUM;1;  ;9999;  ;28023;N/D
769;CALLE                   ;DEL   ;CERRO SAN PEDRO                                 ;par  ;NUM;2;  ;9998;  ;28023;N/D
772;CALLE                   ;DE LA ;PEÑA DEL YELMO                                  ;impar;NUM;1;  ;9999;  ;28023;N/D
772;CALLE                   ;DE LA ;PEÑA DEL YELMO                                  ;par  ;NUM;2;  ;9998;  ;28023;N/D
774;CALLE                   ;DEL   ;CALENDARIO                                      ;impar;NUM;1;  ;9999;  ;28022;N/D
774;CALLE                   ;DEL   ;CALENDARIO                                      ;par  ;NUM;2;  ;9998;  ;28022;N/D
775;PLAZA                   ;DEL   ;VERANO                                          ;impar;NUM;1;  ;9999;  ;28022;N/D
775;PLAZA                   ;DEL   ;VERANO                                          ;par  ;NUM;2;  ;9998;  ;28022;N/D
776;AVENIDA                 ;      ;FIN DE SEMANA                                   ;impar;NUM;1;  ;9999;  ;28022;N/D
776;AVENIDA                 ;      ;FIN DE SEMANA                                   ;par  ;NUM;2;  ;9998;  ;28022;N/D
777;AVENIDA                 ;DEL   ;INVIERNO                                        ;impar;NUM;1;  ;9999;  ;28022;N/D
777;AVENIDA                 ;DEL   ;INVIERNO                                        ;par  ;NUM;2;  ;9998;  ;28022;N/D
778;PLAZA                   ;DE    ;JUAN DE LA COSSA                                ;impar;NUM;1;  ;9999;  ;28016;N/D
778;PLAZA                   ;DE    ;JUAN DE LA COSSA                                ;par  ;NUM;2;  ;9998;  ;28016;N/D
779;CALLE                   ;DE    ;DOÑA JUANA I DE CASTILLA                        ;impar;NUM;1;  ;9999;  ;28027;N/D
779;CALLE                   ;DE    ;DOÑA JUANA I DE CASTILLA                        ;par  ;NUM;2;  ;9998;  ;28027;N/D
780;CALLE                   ;DEL   ;DOCTOR ZAMENHOF                                 ;impar;NUM;1;  ;9999;  ;28027;N/D
780;CALLE                   ;DEL   ;DOCTOR ZAMENHOF                                 ;par  ;NUM;2;  ;9998;  ;28027;N/D
781;PLAZA                   ;DE    ;RODOLFO Y ERNESTO HALFFTER                      ;impar;NUM;1;  ;9999;  ;28002;N/D
781;PLAZA                   ;DE    ;RODOLFO Y ERNESTO HALFFTER                      ;par  ;NUM;2;  ;9998;  ;28002;N/D
